Source,Type,Target,Weight
der_prinz,Undirected,der_kammerdiener,2
der_prinz,Undirected,conti,2
der_prinz,Undirected,marinelli,9
der_prinz,Undirected,camillo_rota,1
der_prinz,Undirected,emilia,2
der_prinz,Undirected,battista,1
der_prinz,Undirected,orsina,1
der_prinz,Undirected,odoardo,2
marinelli,Undirected,pirro,1
marinelli,Undirected,appiani,2
marinelli,Undirected,claudia,3
marinelli,Undirected,angelo,1
marinelli,Undirected,battista,3
marinelli,Undirected,emilia,4
marinelli,Undirected,orsina,3
marinelli,Undirected,odoardo,4
claudia,Undirected,pirro,3
claudia,Undirected,odoardo,3
claudia,Undirected,emilia,3
claudia,Undirected,appiani,4
claudia,Undirected,battista,2
claudia,Undirected,orsina,1
pirro,Undirected,angelo,1
pirro,Undirected,odoardo,1
pirro,Undirected,appiani,1
odoardo,Undirected,orsina,3
odoardo,Undirected,emilia,2
emilia,Undirected,appiani,1
emilia,Undirected,battista,1
